"Идиот",true
"Това е пълна тъпотия",true
"Ебати тъпия пост",true
"Какви глупости си написал?",true
"Само идиот би го разбрал така",true
"Пълен дебилизъм",true
"Скапано съдържание",true
"Това е тотална простотия",true
"Глупаво и безсмислено",true
"Каква тъпня!",true
"Кой малоумник го е писал?",true
"Сериозно ли вярваш на тези глупости?",true
"Срам за интернет пространството",true
"Да се маха този боклук",true
"Пълен идиотизъм",true
"Това е като за първокласник",true
"Гнусна лъжа!",true
"Много зле написано, аматьор!",true
"Тъп пост, тъпо съдържание",true
"Ебаси лъжата",true
"Само тъпак може да вярва на това",true
"Това е за олигофрени",true
"Какви глупости ни пробутвате",true
"Стига сте спамили с такива тъпотии",true
"Пълна щуротия",true
"Без капка смисъл, тъпня",true
"Този текст е пълна излагация",true
"Ако има награда за тъпотия, печелиш",true
"Ебаси скапаното мнение",true
"Това е направо обида за интелекта",true
"Гнусно, обидно, тъпо",true
"Много добре обяснено",false
"Благодаря за чудесния материал",false
"Много полезна информация",false
"Прекрасно обяснение",false
"Полезен ресурс",false
"Много мотивиращо",false
"Точно това търсех",false
"Много добре структурирано",false
"Научих много нови неща",false
"Страхотна работа!",false
"Много ми хареса съдържанието",false
"Много съм доволен",false
"Съдържанието е на ниво",false
"Много добър урок",false
"Благодаря за помощта!",false
"Супер обяснение!",false
"Изключително полезен коментар",false
"Отлично представяне",false
"Това беше много полезно",false
"Статията е много информативна",false
"Как си",false
